BATHRM,HF_BATHRM,HEAT,AC,BEDRM,AYB,EYB,PRICE,GBA,STYLE,STRUCT,GRADE,CNDTN,EXTWALL,ROOF,INTWALL,KITCHENS,FIREPLACES,USECODE,LANDAREA,WARD,SALEYEAR,RMDL
2,0,Warm Cool,1,3,1926.0,1957,615000.0,1456.0,2 Story,Single,Above Average,4,Stucco,Slate,Hardwood,1,1,12,6000,Ward 4,2011.0,1
2,0,Warm Cool,1,2,1915.0,1964,695500.0,966.0,2 Story,Row Inside,Average,4,Common Brick,Built Up,Hardwood,1,1,11,963,Ward 1,2016.0,1
1,0,Warm Cool,1,2,1914.0,1964,625000.0,807.0,2 Story,Row End,Average,4,Common Brick,Built Up,Hardwood,1,1,11,874,Ward 1,2014.0,1
4,0,Hot Water Rad,0,5,1900.0,1960,615000.0,2346.0,3 Story,Row Inside,Good Quality,3,Common Brick,Metal- Sms,Hardwood,4,0,24,1584,Ward 1,2011.0,0
2,2,Hot Water Rad,0,3,1910.0,1972,865000.0,2048.0,2 Story,Row Inside,Very Good,4,Common Brick,Metal- Sms,Hardwood,1,1,11,1513,Ward 1,2015.0,1
4,1,Forced Air,1,7,1913.0,1972,1350000.0,2677.0,3 Story,Row Inside,Very Good,4,Common Brick,Built Up,Hardwood,2,1,24,2484,Ward 1,2015.0,1
3,0,Warm Cool,1,3,1917.0,1986,1180000.0,1590.0,2 Story,Row Inside,Good Quality,4,Common Brick,Metal- Sms,Hardwood,1,0,11,2233,Ward 1,2015.0,1
3,1,Forced Air,1,4,1916.0,1986,1205000.0,2009.0,2.5 Story Fin,Row Inside,Good Quality,4,Common Brick,Metal- Sms,Hardwood,1,1,11,2181,Ward 1,2014.0,1
3,1,Warm Cool,1,4,1916.0,1986,960000.0,1844.0,2.5 Story Unfin,Row Inside,Good Quality,4,Common Brick,Metal- Sms,Hardwood,1,0,11,2207,Ward 1,2012.0,1
3,1,Hot Water Rad,1,4,1916.0,1969,1159500.0,1940.0,2 Story,Row Inside,Good Quality,4,Common Brick,Metal- Sms,Hardwood,2,1,11,2237,Ward 1,2015.0,1
3,0,Hot Water Rad,1,6,1910.0,1978,676000.0,2518.0,3 Story,Semi-Detached,Excellent,4,Common Brick,Built Up,Wood Floor,3,0,24,2310,Ward 1,2011.0,1
3,1,Warm Cool,1,5,1910.0,1978,1130000.0,2514.0,3 Story,Semi-Detached,Excellent,4,Common Brick,Built Up,Wood Floor,2,1,24,2310,Ward 1,2013.0,1
2,1,Hot Water Rad,1,3,1910.0,1970,855000.0,2526.0,3 Story,Semi-Detached,Excellent,3,Common Brick,Built Up,Hardwood,1,3,13,2310,Ward 1,2010.0,1
2,1,Forced Air,1,3,1922.0,1964,579900.0,1600.0,2 Story,Row Inside,Average,4,Common Brick,Metal- Sms,Hardwood,1,1,11,1695,Ward 1,2012.0,1
3,1,Forced Air,1,4,1922.0,1982,780000.0,1536.0,2 Story,Row Inside,Average,4,Common Brick,Clay Tile,Hardwood,1,0,11,1500,Ward 1,2015.0,1
4,1,Forced Air,1,4,1923.0,1986,780000.0,2770.0,2.5 Story Fin,Single,Good Quality,3,Vinyl Siding,Comp Shingle,Hardwood,1,2,12,5010,Ward 4,2013.0,1
3,1,Hot Water Rad,0,4,1922.0,1960,728707.0,3095.0,2 Story,Single,Good Quality,3,Common Brick,Slate,Hardwood,4,0,12,5754,Ward 4,2016.0,1
2,1,Hot Water Rad,1,6,1914.0,1969,1015000.0,4052.0,2.5 Story Fin,Single,Good Quality,4,Common Brick,Clay Tile,Hardwood,1,2,12,6000,Ward 4,2015.0,0
3,1,Warm Cool,1,4,1989.0,2004,875000.0,2212.0,2 Story,Single,Good Quality,4,Vinyl Siding,Comp Shingle,Hardwood,1,1,12,4800,Ward 4,2014.0,1
2,1,Forced Air,1,4,1945.0,1968,1265000.0,1581.0,2.5 Story Fin,Single,Above Average,5,Common Brick,Comp Shingle,Hardwood,1,1,12,8058,Ward 4,2017.0,1
1,1,Warm Cool,1,2,1950.0,1953,650000.0,2022.0,1 Story,Single,Above Average,3,Common Brick,Slate,Hardwood,1,1,12,8058,Ward 4,2015.0,1
